"#","Date Requested","Category","Request / Question","VDR Reference","Priority","Status","Last Update","Seller's Response","Basis (from our VDR review)"
"1","2026-06-12","Power - Interconnection & Studies","Where does the Interconnection Agreement stand, and can you share the current draft or redline? Until it's executed, the 177 MW reads as an approved pathway rather than contracted capacity.","2.2, 2.3","Highest","Open","2026-06-12","","CIM projects IA execution Q3 2026; no executed IA in the room."
"2","2026-06-12","Power - Interconnection & Studies","The SIS estimates roughly 39 months from IA execution for the system upgrades, but the CIM markets first power in 2027. What's the realistic energization date, and what specifically drives the 39 months - the SUF/CTOAF/SASUF upgrades or the substation build itself?","2.2","Highest","Open","2026-06-12","","Direct conflict in the docs: SIS 39-mo-from-IA vs CIM 2027 ramp. Biggest open item from the review."
"3","2026-06-12","Power - Interconnection & Studies","The CIM cites 177 MW while the SIS studies 176.6 MW continuous. Which figure carries into the IA and ESA, and would any increase trigger a NYISO restudy?","2.2, 1.1","High","Open","2026-06-12","","Load figure differs between CIM and SIS Rev 6."
"4","2026-06-12","Power - Interconnection & Studies","The Facilities Study Agreement was executed in Feb 2026 with the $90K deposit, but the Facilities Study itself isn't in the room. When does it complete, and can you share the cost and schedule output? That's what binds the SIS's preliminary estimate.","2.3","High","Open","2026-06-12","","FSA present; FS output absent. FSA text references ~150/180-day study and a high-level estimate."
"5","2026-06-12","Power - Interconnection & Studies","Confirm the two incoming 138 kV feeds deliver true N-1/firm service, and clarify the point of interconnection - the SIS shows an original POI on Line 138-873 and an updated POI on Line 138-872. Which is the basis?","2.2","Medium","Open","2026-06-12","","CIM claims 2N/redundant feeds (N-1 unconfirmed); SIS notes a POI change mid-study."
"6","2026-06-12","Power - Substation & Equipment","Please clarify the substation build and ownership boundary - the materials indicate PSEG-LI owns the switching station/substation while the buyer funds and builds it. Who constructs what, when does design reach IFC, and does that depend on the Facilities Study (~Aug 2026)?","2.1, 4.3","High","Open","2026-06-12","","PSEG-owns / buyer-builds split is ambiguous; design appears conceptual (ROMs only)."
"7","2026-06-12","Power - Substation & Equipment","The room has two substation ROMs - Clune (~$69.4M) and Hunter Roberts (~$84.0M). Which is the basis of design, and what accounts for the ~$15M gap?","4.3","High","Open","2026-06-12","","Two divergent ROMs reviewed (Clune 3/2/26; Hunter Roberts 3/5/26)."
"8","2026-06-12","Power - Substation & Equipment","What's the procurement status, lead time, and any quotes or factory slots for the 4 x 66 MVA transformers, HV breakers, and switchgear? At ~2-year lead these gate first power - has anything been ordered or reserved?","4.3","High","Open","2026-06-12","","Hunter Roberts shows ~40-52 wk furnish + ~48-52 wk install; nothing ordered per the room."
"9","2026-06-12","Power - Commercial / ESA","Can you provide the draft Electric Service Agreement and confirm the rate, term, escalation, and credit/security? The CIM's ~$0.15/kWh is indicative and explicitly 'subject to the executed ESA.'","1.1","Highest","Open","2026-06-12","","No ESA in the room; CIM flags 177 MW as subject to the executed ESA (projected Q4 2026)."
"10","2026-06-12","Power - Commercial / ESA","The SIS gives a non-binding $25.34M (+/-50%) utility-upgrade estimate. What's the bound figure, the LIPA/customer cost allocation, and the collateral/security the ESA will require (form, magnitude, timing)?","2.2","High","Open","2026-06-12","","Upgrade cost is a wide non-binding band; collateral undisclosed."
"11","2026-06-12","Title, Liens & Encumbrances","Confirm the payoff/discharge of the Bank OZK building loan (~$52.62M) and release of the Sunbelt Rentals mechanics lien (~$30,539) so clean title is delivered at closing.","3.1","High","Open","2026-06-12","","Schedule B (Title No. 917082): OZK building loan + open Sunbelt mechanics lien."
"12","2026-06-12","Title, Liens & Encumbrances","Please walk the Schedule B exceptions on Title No. 917082 - in particular the multiple LILCO/LIPA utility easements and the LIE access-restriction takings - and flag which burden the developable area or the planned substation site.","3.1, 3.2","High","Open","2026-06-12","","Numerous recorded LILCO/LIPA and Long Island Expressway easements in Schedule B."
"13","2026-06-12","IDA / PILOT / Incentives","The title shows a Town of Brookhaven IDA lease/leaseback (recorded 3/1/2023), but the IDA documents aren't in the room. Please add the Company Lease, Lease & Project Agreement, and PILOT schedule, and explain the consent path for change of use/control, recapture exposure, and whether the PILOT can transfer or be renegotiated for data-center use.","Not in VDR - request","High","Open","2026-06-12","","IDA appears only as a Schedule B exception; VDR has no IDA folder."
"14","2026-06-12","Land, Easements & Access","Provide the recorded Central Pine Barrens conservation easement (12/6/2022) and its 4/19/2023 amendment, the resulting protected/non-buildable area, and what the Central Pine Barrens Commission requires to approve ground disturbance for the substation and generator yards.","3.1 - request instrument","High","Open","2026-06-12","","Conservation easement in Schedule B; net buildable acreage never quantified in the CIM."
"15","2026-06-12","Land, Easements & Access","Confirm curb-cut and ingress/egress rights off the LIE North Service Road given the State access-restriction easements, and whether an oversize/heavy-haul route for the transformers has been coordinated with NYSDOT.","3.2","Medium","Open","2026-06-12","","LIE access-restriction takings in Schedule B; transformers are oversize loads."
"16","2026-06-12","Environmental & Aquifer","The Phase I (VERTEX, 7/29/2022) predates construction and is ~4 years old, and the CIM states no wetlands delineation was completed. Please refresh the Phase I for the as-built campus and provide the wetlands delineation and threatened & endangered species report.","5.1 - request wetlands/species","High","Open","2026-06-12","","Phase I is stale/pre-construction; CIM supplemental says wetlands delineation not done; species 'clearance' asserted with no standalone report."
"17","2026-06-12","Environmental & Aquifer","Identify the exact groundwater designation (Central Pine Barrens CGA / Special Groundwater Protection Area / Suffolk County Article 6) and any limits on diesel/chemical storage and stormwater recharge over the sole-source aquifer - relevant to a large backup-generator fleet.","1.1, 3.1","Medium","Open","2026-06-12","","CIM flags a 'hydrogeologic sensitive zone'; designation and constraints unconfirmed."
"18","2026-06-12","Geotech & Conversion","The Tectonic geotech (12/6/2021) gives 2 tsf net allowable bearing but was designed for warehouse loads. Has it been validated for data-center equipment - transformer/UPS/generator pads and liquid-cooling slab loads - against the 7-inch / 800 PSF slab?","5.2","High","Open","2026-06-12","","Geotech reviewed: Class D, no liquefaction, 2 tsf - sized for warehouses, not DC equipment."
"19","2026-06-12","Geotech & Conversion","Beyond the substation, what's the remaining capex estimate to reach a true powered shell (MEP upgrades, fit-out interfaces), and the basis-of-design behind the 'low-incremental conversion' claim?","2.1","High","Open","2026-06-12","","CIM markets 'low incremental capex' but only the substation is costed."
"20","2026-06-12","Zoning, Permitting & Air","Data center is a permitted R&D use, but the change-of-use as a data center hasn't been filed. Please share the remaining-approvals matrix (Town change-of-use, CPBJPPC, SCDHS), the Minor Site Plan status, and whether SEQRA is triggered.","3.3","High","Open","2026-06-12","","Zoning memo (Certilman Balin) confirms the use but the DC change-of-use isn't yet filed."
"21","2026-06-12","Zoning, Permitting & Air","What's the NYSDEC air-permit applicability for the ~78 backup generators in this severe-ozone-nonattainment area, and what generation architecture (diesel / fuel cell / BESS) does the basis of design assume?","2.1","High","Open","2026-06-12","","CIM implies ~78 gensets (29/25/24); NYC-metro ozone nonattainment; air pathway unscoped."
"22","2026-06-12","Transaction & Process","Confirm the sale process, bid deadline, diligence window, and target sign/close, and provide guidance on price expectations and deal structure.","1.1","High","Open","2026-06-12","","Broad TD Securities sale; pre-LOI; no price or exclusivity disclosed."
